in der kreuzau,964,kreuzau
bornheim rathaus,628
borsigstraße,256
brahmsstraße,172
braugasse,220
bremerhavener straße,365
breslauer platz hauptbahnhof,9
broichstraße,541
brück mauspfad,547
bruder klaus siedlung,638
brüggener straße,62
brühl mitte,735
brühl nord,734
brühl süd,736
brühler straße gürtel,74
brühler straße,689
brühl vochem,738
b. t. f. merheim,981
buchforst s. bahn,779
buchforst waldecker straße,569
buchheim frankfurter straße,577
buchheim herler straße,578
buchheimer weg,535
bückebergstraße,550
bugenhagenstraße,941
bundesrechnungshof,684
bunsenstraße,137
burgwiesenstraße,591
buschdorf,695
buschfeldstraße,590
buschweg,302
butzweilerstraße,250
carl goerdeler straße,728
carlswerkstraße,911
cäsarstraße,70
celsiusstraße,909
chempark s. bahn,814
cheruskerstraße,792
chlodwigplatz,18
chorbuschstraße,376
chorweiler,385
christian sünner straße,923
christophstraße mediapark,32,mediapark,christophstraße
clarenbachstift,180
cöllnparc,900
colonia allee,592,axa
corintostraße,921
cranachstraße,826
curt stenvert bogen,926
dasselstraße bahnhof süd,25,bahnhof süd,dasselstraße
deckstein,177
dellbrück hauptstraße,595
dellbrück mauspfad,594
dellbrück s. bahn,604
dersdorf,674
deutz technische hochschule,44,deutz t.h.
deutzer freiheit,39
deutzer friedhof,890
deutzer ring,496
diepenbeekallee,229
diepeschrather straße,602
dieselstraße,214
dionysstraße,360
d. l. r.,509,dlr
dohmengasse,295
dom hauptbahnhof,8,central station,domplatte,hauptbahnhof,dom
donatusstraße,383
dornstraße,430
dorotheenstraße,484
doktor schultz straße,715
dransdorf,697
drehbrücke,46
drosselweg,346
dünnwald waldbad,794
dünnwalder straße,634
dürener straße gürtel,170,dürener straße
ebernburgweg,330
ebertplatz,35
ebertplatz riehler straße,653,riehler straße
eddaweg,662
edelhofstraße,650
edsel ford straße,414
efferen,730
egelspfad,211
eggerbachstraße,597
egonstraße,645
eichenstraße,252
eifelplatz,21
eifelstraße,22
eifelwall,26
eil heumarer straße,460
eil kirche,458
eiler straße,559
elisabeth breuer straße,934
elisabethstraße,720
elsdorf,481
emilstraße,268
engeldorfer hof,89
engeldorfer straße,87
ensen gilgaustraße,451
ensen kloster,452
erker mühle,548
erlenweg,269
ernst volland straße,128
esch,377
esch friedhof,857
escher see,774
escher straße,326
esserstraße,528
esso,366
ettore bugatti straße,437
etzelstraße,341
eupener straße,181
europaring,562
euskirchener straße,163
eythstraße,514
falkenweg,290
feldbergstraße,525
feldkasseler weg,855
feltenstraße,267
feuerwache,471
fischenich,731
flachsweg,192
flehbachstraße,546
flittard süd,647
flittarder feld,648
florastraße,304
florenzer straße,856
flughafen personalparkplatz,745
fordwerke mitte,369
fordwerke nord,370
fordwerke süd,368
frankenforst,671
frankenstraße,88
frankenthaler straße,329
frankfurter straße s. bahn,657
frankstraße,110
franziska anneke straße,849
frechen bf,712
frechen kirche,711
frechen rathaus,710
frechen benzelrath,708
frechener weg,222
freiheitsring,717
freiligrathstraße,880
friedenspark,785
friedensstraße,477
friedhof chorweiler,398
friedhof godorf,138
friedhof lehmbacher weg,682
friedhof stammheim,644
friedhof steinneuerhof,102
friedhof worringen,749
friedrich hirsch straße,480
friedrich karl straße neusser straße,838
friedrich karl straße niehler straße,345
friesenplatz,30
fühlingen,405
fühlinger weg,397
fuldaer straße,517
further straße,423
gaedestraße,82
gauweg,821
geestemünder straße,367
geibelstraße,146
geisselstraße,253
geldernstraße parkgürtel,325
gerhart hauptmann straße,589
gewerbegebiet broichstraße,545
gewerbegebiet pesch,382
gewerbegebiet pesch nord,781
gießener straße,531
gisbertstraße,842
glashüttenstraße,862
gleueler straße gürtel,173
godorf bahnhof,134,godorf
goldammerweg,288
goldregenweg,629
goltsteinstraße gürtel,78
görlinger zentrum,940
gottesweg,54
göttinger straße,823
grachtenhofstraße,723
graditzer straße,348
graf adolf straße,573
gremberg,530
grengel mauspfad,476
grevenbroicher straße,293
grimmelshausenstraße,112
gronauer straße,580
grunerstraße,587
grüngürtelstraße,117
grünstraße,568
gummersbacher straße,920
gunther plüschow straße,661
guntherstraße,503
gut leidenhausen,927
gut neuenhof,722
gutenbergstraße,238
güterverkehrszentrum,859
güterverkehrszentrum süd,915
habichtstraße,884
hackhauser weg,427
hagenstraße,504
hahnwald,105
halfengasse,350
hammerschmidtstraße,129
hansaring,36
hans böckler platz bahnhof west,31,bahnhof west,hans böckler platz,hans böckler
hansestraße,455
hansestraße ost,454
hansestraße süd,462
hansestraße west,790
hans offermann straße,938
haus fühlingen,404
haus vorst,713
häuschensweg,266
havelstraße,883
heeresamt,73
heimersdorf,384
heimfriedweg,943
heinering,372
heinrich bützler straße,924
heinrich lübke ufer,897
heinrich mann straße,301
heinz kühn straße,878
herforder straße,364
hermann löns straße,375
herrigergasse,189
hersel,678
herstattallee,388
herthastraße,53
heumarkt,1,heu markt
heussallee museumsmeile,692,museumsmeile,heussallee
hildegardis krankenhaus,145
hildegundweg,618
hochkirchen,95
hochkreuz,699
höhenberg frankfurter straße,518,höhenberg
hohenlind,174
höhscheider weg,615
holweide s. bahn,586
holweide vischeringstraße,583
höningen rondorfer weg,92
höningen siedlung,93
honschaftsstraße,610
hopfenstraße,868
hücheln krankenhaus,707
hüchelner straße,718
hugo eckener straße,275
hugo junkers straße,861
humboldtstraße,456
hürth kalscheuren bf,5447,hürth,hürth kalscheuren
hürth hermülheim,733,hermülheim
ikea am butzweilerhof,976,ikea butzweilerhof
ikea godorf,871
iltisstraße,249
im buschfelde,230
im falkenhorst,459
im hoppenkamp,655
im klarenpesch,714
im langen bruch,552
im rheinpark,51
im rheintal,918
im wasserfeld,443
im weidenbruch,606
im wichemshof,793
im wirtskamp,795
imbacher weg,801
imbuschstraße,729
immendorf,140
immendorf schule,840
immendorf siedlung,139
indianapolis straße,786
innere kanalstraße,756
jasminweg,612
johannes prassel straße,378
johannesstraße,746
josef lammerting allee,91
junkersdorf,200
juridicum,685
justizzentrum,875
kalk kapelle,513
kalk post,512
kalker friedhof,539
kalk karree,922
kalkweg,622
kallbergstraße,928
kalscheurer weg,55
kämpchensweg,190
kapellenweg,748
kapfenberger straße,716
karl marx allee,386
karl schwering platz,148
karnevalsmuseum,259
kartäuserhof,894
kaserne haupttor,888
kaserne nordtor,482
kasselberg,419
kendenicher straße,60
kesselsgasse,706
kettelerstraße,90
keupstraße,631
kiebitzweg,732
kieler straße,574
kierberger straße,752
kinderkrankenhaus,316
kippekausen,670
kirschbaumweg,103
kitschburger straße,171
klaprothstraße,933
kleinfeldchensweg,549
kleingartenanlage ostheim,321
klettenbergpark,167
klingerstraße,863
klinikum merheim,831
klosterhof,617
koblenzer straße,67
kochwiesenstraße,296
koelnmesse,42,kölnmesse,köln messe
kolkrabenweg,285
köln bonn flughafen,892,flughafen,köln flughafen
kölner straße,666
kölner weg,204
kölnstraße,127
königsforst,557
konrad adenauer straße,120
konradstraße,156
kopernikusschule,470
koppensteinstraße,176
kornblumenweg,502
körnerstraße,237
krefelder wall,38
kretzerstraße,309
krieger straße,864
krieler straße,175
kuenstraße,828
kühzällerweg,588
kürtenstraße,522
lacher broch,284
lahnstraße,725
langel fähre,407
langel kuhlenweg,410
langel mohlenweg,409
langel nord,408
leiblplatz,147
leichweg,71
leimbachweg,620
leinsamenweg,193
leipziger platz,307
lenauplatz,247
lentpark,925
leopold gmelin straße,817
lerchenweg,96
lessingstraße,833
leuchterstraße,608
leyboldstraße,83
leyendeckerstraße,255,leiendecker straße,leiendecker,leyendecker straße,leyendecker
liblarer straße,72
libur kirche,497
libur margaretenstraße,498
liebigstraße,239
lina bommer weg,937
lindenburg,155
lindenbuschweg,726
lindenweg,847
linder kreuz,492
linder mauspfad,495
linder weg,494
lindweilerfeld,393
lindweilerweg,359
lippeweg,616
lohsestraße,305,lohse straße,losestraße,lose straße
longerich friedhof,357
longerich s. bahn,358
longericher straße,356
longericher straße nord,335
longericher straße etzelstraße,860
lucasstraße,499
lüderichstraße,919
ludwig quidde platz,564
ludwigsburger straße,328
lülsdorf hallenbad,113
lülsdorf kirche,158
lülsdorf nord,280
lülsdorf schulzentrum,281
lülsdorf uhlandstraße,240
lustheide,668
lvr klinik,843,l.v.r. klinik
maarhäuser weg,461
maarweg,179
mannesmannstraße,104
mannsfeld,69
marconistraße,854
marconistraße ost,858
margaretastraße,273
maria himmelfahrt straße,584
marienberger weg,392
marienburg südpark,80,marienburg
marienburger straße,79
marienplatz,658
marienstraße,834
marktplatz sürth,126
marktstraße,66
marsdorf,235
maternusplatz,109
mathias brüggen straße,278
mauritiuskirche,4
mauritiusschule,724
max löbner straße friesdorf,698,max löbner straße
mechternstraße,771
meerfeldstraße,355
melaten,144,melaten friedhof
mennweg,406
merheim,540
merheimer platz,312
merianstraße,396
merkenich,417
merkenich mitte,416
merkenicher straße,349
merten,676
meschenich kirche,86
methweg,769
michaelshoven,108
militärringstraße,279
mohnweg,142
mollwitzstraße,336
moltkestraße,28
mommsenstraße,165
montanusstraße,571
morsestraße,853
moses hess straße,640
mozartstraße,747
mühlengasse,709
mühlenweg,270
mühlenweiher,435
mülhauser straße,773
mülheim berliner straße,633
mülheim wiener platz,570,wiener platz
mülheimer friedhof,519
mülheimer ring,800
müngersdorf s. bahn technologiepark,185,müngersdorf s. bahn,müngersdorf technologiepark
museum koenig,683
mutzbach,626
nachtigallenstraße,490
nattermannallee,294
neißestraße,882
nesselrodestraße,818
neuenweg,667
neuer mülheimer friedhof,637
neufelder straße,585
neumarkt,2
neurather weg,605
neusser straße gürtel,303
neven dumont haus,885
nibelungenplatz,339
nibelungenstraße,652
niehl,342
niehl betriebshof nord,352
niehl sebastianstraße,343
niehler damm,351
niehler kirchweg,820
niehler straße,308
nievenheimer straße,327
nippes s. bahn,750,nippes
nordfriedhof,338
nordstraße,306
nußbaumerstraße,246
nüssenberger straße,299
oberer komarweg,61
oberzündorf,763
odenthaler straße,609
ollenhauerring,298
ollenhauerstraße,691
olof palme allee,690
olpener straße,551
oranienstraße,523
oranjehofstraße,412
oskar jäger straße,258
oskar jäger straße gürtel,182
oskar schindler straße,929
ossendorf,271
osterather straße,815
ostfriedhof,598
ostheim,533
ostlandstraße,227
ostmerheimer straße,543
otto hahn straße,136
otto müller straße,381
palmenhof,809
pasteurstraße,822
paul nießen straße,916
paul reifenberg straße,621
pesch schulstraße,373
pescher weg,380
pettenkoferstraße,772
pierstraße,135
piusstraße,236
plittersdorfer straße,701
pohligstraße,52
poll hauptstraße,442
poll salmstraße,438
poller holzweg,445
poller kirchweg,47
porz markt,467
porz steinstraße,466
porzer straße,554
porz langel kirche,767
porz langel mühle,765
porz langel nord,764
porz langel süd,703
porz langel zur eiche,766
poststraße,3
prälat van acken straße,850
propsthof nord,43
pulheimer straße,391
raiffeisenstraße,444
ramrather weg,751
ranzel kirche,344
ranzel schule,77
ranzel weilerhof,869
rathaus,6
rath heumar,556
refrath,669
reichenspergerplatz,34
reiherstraße,777
rektor klein straße,272
remscheider straße,516
rheinauhafen,744
rheinbergstraße,581
rheinenergie stadion,187
rheinkassel,411
rheinlandstraße,413
rheinsteinstraße,64
rhöndorfer straße,159
richard wagner straße,118
riehler gürtel,319
ritterstraße,130
robert bosch straße,415
robert kirchhoff straße,696
robert perthel straße,334
rodenkirchen bahnhof,106
rodenkirchen bismarckstraße,780
rodenkirchen rathaus,111
roggenweg,194
roisdorf west,672
roisdorfer straße,59
rolshover straße,433
rondorf,97
roonstraße,29
rosenhügel,228
rosenstraße,13
rosmarinweg,808
rösrather straße,565
rotdornstraße,50
rotdornweg,721
roteichenweg,879
röttgensweg,555
rudolf diesel straße,463
rudolfplatz,27
saarbrücker straße,536
saarstraße,218
sachsenbergstraße,529
sauerlandstraße,532
schadowstraße,768
schaffrathsgasse,242
schanzenstraße nord,908
schanzenstraße schauspielhaus,891
scheibenstraße,337
scheuermühlenstraße,887
schillingsrotter straße,122
schirmerstraße,770
schlagbaumsweg,593
schlebusch,663
schlehdornstraße,931
schlettstadter straße,418
schloss röttgen,558
schmiedegasse,340
schneider clauss straße,829
schokoladenmuseum,719
schönhauser straße,65
schulzentrum wahn,886
schumacherring,895
schüttewerk,440
schützenhofstraße,935
schwabenstraße,121
schwadorf,739
schwindstraße,198
sechzigstraße,311
seeberg,395
seithümerstraße,213
selma lagerlöf straße,221
seniorenzentrum riehl,320
servatiusstraße,537
severinsbrücke,45
severinskirche,15
severinstraße,11
severinusstraße,219
siebengebirgsallee,168
siedlung mielenforst,599
siegburger straße,448
siegfriedstraße,116
siegstraße,107
siemensstraße,469
sigwinstraße,613
silbermöwenweg,14
sinnersdorf kirche,704
sinnersdorfer mühle,379
slabystraße,315
sparkasse am butzweilerhof,903
spitzangerweg,217
sportplatzstraße,656
sprengelstraße,819
sankt vinzenz hospital,824
sankt joseph kirche,354
sankt tönnis straße,426
stallagsweg,390
stammheim s. bahn,813
stammheimer ring,641
stegerwaldsiedlung,567
steinkauzweg,286
steinmetzstraße,515
steinstraße s. bahn,625
steinweg,553
sterrenhofweg,205
stolberger straße,778
stolberger straße eupener straße,183
stolberger straße maarweg,184
stommeler straße,839
stormstraße,225
straßburger platz,563
stresemannstraße,465
stüttgenhof,234
stüttgerhofweg,210
subbelrather straße gürtel,245,subbelrather straße,subbelrather
südallee,207
südbahnhof,876
suevenstraße,40
sülz hermeskeiler platz,166
sülzburgstraße,152
sülzburgstraße berrenrather straße,157
sülzgürtel,160
sürth bahnhof,124
sürther feldallee,226
tacitusstraße,68
takustraße,836
talweg,805
tannenbusch mitte,694
tannenbusch süd,693
taubenholzweg,446
technologiepark köln,197
theodor heuss straße,464
theresienstraße,149
thermalbad,806
thielenbruch,596
thurner kamp,600
trifelsstraße,789
trimbornstraße,816
troisdorfer straße,493
tüv akademie,799
ubierring,17
uedorf,679
uferstraße,114
ulrepforte,19
universitaet markt,686
universität,153
universitätsstraße,143
unnauer weg,394
urbach breslauer straße,472
urbach friedhof,479
urbach kaiserstraße,511
urbach waldstraße,510
urfeld,743
venloer straße gürtel,251,venloer straße,venloer
vingst,521
vitalisstraße nord,659
vitalisstraße süd,195
vogelsanger markt,289
vogelsanger straße,265
vogelsanger straße maarweg,260
volkhovener weg,402
volksgarten,913
voltastraße,901
von galen straße,639
von hünefeld straße,277
von lohe straße,635
von quadt straße,601
von sparr straße,632
wahn friedhof,491
wahn kirche,489
wahn s. bahn,488
waidmarkt,12
walberberg,677
waldorf,675
waldstraße,208
waldstraße akazienweg,475
walter dodde weg,421
walter pauli ring,243
wasseramselweg,965
wasserwerk,75
wattstraße,873
w. d. r.,292,WDR,w d r
weichselring,403
weiden einkaufszentrum,791
weiden schulstraße,241
weiden sportplatz,224
weiden west s. bahn,702
weiden zentrum,261
weidenpescher straße,347
weilburger straße,526
weiler,401
weilerweg,811
weinsbergstraße gürtel,254
weiß friedhof,132
weißer hauptstraße,131
weißhausstraße,150
welserstraße,651
wendelinstraße,188
weserpromenade,881
wesseling,741
wesseling nord,742
wesseling süd,740
wesselinger straße,125
westerwaldstraße,99
westfriedhof,283
westhoven berliner straße,450
westhoven kölner straße,449
weyertal,154
wezelostraße,400
wichheimer straße,579
widdersdorf,231
widdersdorfer straße,196
widdig,680
wiedenfelder weg,428
wiedstraße,654
wiehler straße,544
wiener weg,209
wiesenweg,478
wildpark,623
wilhelm leuschner straße,727
wilhelm sollmann straße,362
wilhelmstraße,825
willi lauf allee,244
windmühlenstraße,961
wiso fakultät,846
wolffsohnstraße,282
worringen s. bahn,420
worringen süd,425
worringer straße,37
wüllnerstraße,169
wupperplatz,944
würzburger straße,520
wurzerstraße,700
xantener straße,323
zaunhof,141
zaunstraße,215
zollstock südfriedhof,57
zollstockgürtel,56
zollstocksweg,58
zonser straße,837
zoo flora,313
zugweg,914
zülpicher platz,24
zülpicher straße gürtel,164
zum hedelsberg,133
zum neuen kreuz,807
zündorf,486
zündorf altersheim,759
zündorf kirche,758
zündorf marktstraße,757
zündorf mitte,760
zündorf olefsgasse,761
zündorf ranzeler straße,762
zündorfer weg,447
zur abtei,804
zypressenstraße,389
